"Group.1","beetle","bird","bush.cricket","buzz","CF.FMd","CF.FMd.CF","cicada","FMd","FMd.QCF","FMu.CF.FMd","FMu.QCF","FMu.QCF.FMd","frog","grasshopper","ground.cricket","insect","moth","noise","other.mammal","QCF.FMd","MainMode","FreqM","FreqP","FreqC","Tstart","Tend","NbCris","DurMed","Dur90","Ampm50","Ampm90","AmpSMd","DiffME","SR","Ramp90","Order","Ind","SpMaxF2","Version","Filename","Commentaire","IdMan","temps_debut","temps_debut.1","espece","Group","probabilite","frequence","diff"
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221802_857",0.078,0.014,0.176,0.8,0.006,0.002,0.008,0.112,0.046,0.038,0.006,0.012,0.004,0.002,0,0.054,0.064,0.326,0.012,0.016,54.5,55,54.8,56.2,0.5,0.7,7,1,1,57.8,71.5,20,46.3,384000,-1.5,"N2",0.8,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221802_857.wav",NA,NA,0,2.6,"pippyg","bat",0.99,61,6
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223",0.02,0,0.026,0.9,0.008,0,0.002,0.26,0.046,0.028,0,0,0.002,0,0,0.012,0.012,0.046,0,0.002,55,62,55.5,56.6,1.6,2.4,6,1,2,110.1,159.8,43,79.1,384000,-0.8,"N2",0.9,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223.wav",NA,NA,0.2,5,"pippyg","bat",0.98,62,0
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223",0.014,0,0.006,0.79,0.006,0,0,0.202,0.044,0.014,0,0,0.002,0,0.002,0.008,0.008,0.012,0,0.002,66.4,66,66.4,55.5,1.6,1.7,2,2,2,110.8,116.7,39,84.6,384000,-1.2,"N4",0.79,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223.wav",NA,NA,0.2,5,"pippyg","bat",0.98,62,4
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223",0.018,0.008,0.084,0.76,0.002,0,0.006,0.158,0.042,0.008,0,0.004,0.006,0.002,0,0.016,0.018,0.06,0.004,0.002,37.2,39,37.1,18.8,1.7,2.5,1,6,10,82.8,117.5,37,78.4,384000,-0.8,"N5",0.76,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223.wav",NA,NA,0.3,4.7,"noise","noise",0.69,38,1
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223",0.006,0,0.002,0.728,0.006,0,0.002,0.144,0.082,0.018,0,0,0,0,0,0.002,0,0.01,0,0,44.2,48,44.2,55.5,1.6,1.7,1,0,0,85.1,85.1,30,34.7,384000,-1.2,"N6",0.728,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223.wav",NA,NA,0.3,4.7,"noise","noise",0.69,38,10
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_223818_217",0.064,0.052,0.132,0.396,0.014,0.002,0.008,0.154,0.064,0.042,0,0.004,0.024,0.004,0.004,0.07,0.04,0.3,0.01,0.012,48,47,46.9,49.9,0.7,1.4,2,1,2,21.7,30.2,9,18.3,384000,-2.3,"N6",0.396,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_223818_217.wav",NA,NA,0,5,"noise","noise",0.92,32,15
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_224823_951",0.062,0.03,0.138,0.45,0.002,0.002,0.01,0.086,0.022,0.016,0.002,0.004,0.034,0.002,0,0.058,0.046,0.206,0.03,0.008,30.4,28,30.4,17.2,3.6,3.8,1,1,1,51.5,71.4,23,45.1,384000,-0.8,"N3",0.45,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_224823_951.wav",NA,NA,1.2,5,"noise","noise",0.89,12,16
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_225336_989",0.03,0.03,0.234,0.306,0.006,0.002,0.012,0.056,0.02,0.012,0.002,0.006,0.03,0.012,0.002,0.108,0.026,0.28,0.016,0.012,47.2,43,47.6,13.9,1.6,1.7,1,3,3,95,124.5,42,91.6,384000,0.4,"N7",0.306,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_225336_989.wav",NA,NA,0,5,"noise","noise",0.89,31,12
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_231413_800",0.052,0.014,0.116,0.272,0.004,0,0.016,0.126,0.076,0.008,0,0.004,0.024,0.002,0,0.038,0.032,0.202,0.01,0.004,36,36,36,35.2,1.4,1.5,1,0,0,26.3,26.3,9,21.5,384000,-0.8,"N3",0.272,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_231413_800.wav",NA,NA,0,1.6,"noise","noise",0.89,10,26
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_231508_071",0.026,0,0.01,0.588,0.002,0,0,0.23,0.04,0.052,0,0.002,0,0,0,0,0.006,0.044,0,0,33,30,33,33,0.6,0.7,1,1,1,62,62,27,57.4,384000,-1.7,"N2",0.588,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_231508_071.wav",NA,NA,0,4.1,"noise","noise",0.91,28,2
