"NumeroSequence","Espece","TempsDebutSequence","TempsFinSequence","DureeSequence","Nuit"
95,"pippip",2020-06-10 19:50:20.919,2020-06-10 19:50:26.319,5.39999985694885,"2020-06-10"
96,"pippip",2020-06-10 19:50:32.539,2020-06-10 19:50:46.469,13.9299998283386,"2020-06-10"
97,"pippip",2020-06-10 19:50:52.769,2020-06-10 19:50:54.669,1.90000009536743,"2020-06-10"
98,"pippip",2020-06-10 19:51:03.469,2020-06-10 19:51:08.588,5.11900019645691,"2020-06-10"
99,"pippip",2020-06-10 19:51:12.288,2020-06-10 19:51:20.188,7.90000009536743,"2020-06-10"
100,"pippip",2020-06-10 19:51:27.187,2020-06-10 19:51:32.187,5,"2020-06-10"
101,"pippip",2020-06-10 19:51:38.611,2020-06-10 19:51:43.511,4.90000009536743,"2020-06-10"
102,"pippip",2020-06-10 19:51:45.611,2020-06-10 19:51:56.011,10.4000000953674,"2020-06-10"
103,"pippip",2020-06-10 19:51:58.711,2020-06-10 19:52:06.111,7.40000009536743,"2020-06-10"
104,"pippip",2020-06-10 19:52:08.872,2020-06-10 19:52:22.372,13.5,"2020-06-10"
105,"pippip",2020-06-10 19:52:27.866,2020-06-10 19:52:35.866,8,"2020-06-10"
106,"pippip",2020-06-10 19:52:41.866,2020-06-10 19:52:47.695,5.8289999961853,"2020-06-10"
107,"pippip",2020-06-10 19:52:50.444,2020-06-10 19:53:10.344,19.9000000953674,"2020-06-10"
108,"pippip",2020-06-10 19:53:16.344,2020-06-10 19:53:16.644,0.299999952316284,"2020-06-10"
109,"pippip",2020-06-10 19:53:19.864,2020-06-10 19:53:23.164,3.29999995231628,"2020-06-10"
110,"pippip",2020-06-10 19:53:32.199,2020-06-10 19:53:38.299,6.09999990463257,"2020-06-10"
111,"pippip",2020-06-10 19:53:45.718,2020-06-10 19:53:49.718,4,"2020-06-10"
112,"pippip",2020-06-10 19:54:33.101,2020-06-10 19:54:36.201,3.09999990463257,"2020-06-10"
113,"pippip",2020-06-10 19:54:40.651,2020-06-10 19:54:46.751,6.09999990463257,"2020-06-10"
114,"pippip",2020-06-10 19:54:54.721,2020-06-10 19:55:01.421,6.69999980926514,"2020-06-10"
115,"pippip",2020-06-10 19:55:03.621,2020-06-10 19:55:08.466,4.84500002861023,"2020-06-10"
116,"pippip",2020-06-10 19:55:10.966,2020-06-10 19:55:16.927,5.96099996566772,"2020-06-10"
117,"pippip",2020-06-10 19:55:22.027,2020-06-10 19:55:22.127,0.100000143051147,"2020-06-10"
118,"pippip",2020-06-10 19:55:28.627,2020-06-10 19:55:37.127,8.5,"2020-06-10"
119,"pippip",2020-06-10 19:55:49.767,2020-06-10 19:55:59.567,9.79999995231628,"2020-06-10"
120,"pippip",2020-06-10 19:56:02.567,2020-06-10 19:56:16.061,13.4939999580383,"2020-06-10"
121,"pippip",2020-06-10 19:56:18.561,2020-06-10 19:56:52.913,34.3520002365112,"2020-06-10"
122,"pippip",2020-06-10 19:56:56.513,2020-06-10 19:57:08.193,11.6799998283386,"2020-06-10"
123,"pippip",2020-06-10 19:57:10.393,2020-06-10 19:57:10.793,0.400000095367432,"2020-06-10"
124,"pippip",2020-06-10 19:57:14.293,2020-06-10 19:57:22.693,8.39999985694885,"2020-06-10"
125,"pippip",2020-06-10 19:57:30.593,2020-06-10 19:57:37.893,7.29999995231628,"2020-06-10"
126,"pippip",2020-06-10 19:57:42.293,2020-06-10 19:57:55.493,13.1999998092651,"2020-06-10"
127,"pippip",2020-06-10 19:58:08.741,2020-06-10 19:58:12.841,4.09999990463257,"2020-06-10"
128,"pippip",2020-06-10 19:58:18.309,2020-06-10 19:58:32.609,14.2999999523163,"2020-06-10"
129,"pippip",2020-06-10 19:58:37.756,2020-06-10 19:58:45.756,8,"2020-06-10"
130,"pippip",2020-06-10 19:59:13.688,2020-06-10 19:59:20.588,6.90000009536743,"2020-06-10"
131,"pippip",2020-06-10 19:59:26.398,2020-06-10 19:59:33.096,6.69800019264221,"2020-06-10"
132,"pippip",2020-06-10 19:59:48.996,2020-06-10 19:59:49.096,0.100000143051147,"2020-06-10"
133,"pippip",2020-06-10 19:59:54.878,2020-06-10 19:59:57.478,2.59999990463257,"2020-06-10"
134,"pippip",2020-06-10 20:00:01.2,2020-06-10 20:00:05.6,4.40000009536743,"2020-06-10"
135,"pippip",2020-06-10 20:00:11.6,2020-06-10 20:00:17.37,5.76999998092651,"2020-06-10"
136,"pippip",2020-06-10 20:00:24.773,2020-06-10 20:00:30.61,5.83699989318848,"2020-06-10"
137,"pippip",2020-06-10 20:00:35.767,2020-06-10 20:00:54.167,18.4000000953674,"2020-06-10"
